/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/CodigoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/CodigoPublicoNaLegAtual;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/NomeParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/NomeCompletoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/SexoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/FormaTratamento;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlFotoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlPaginaParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlPaginaParticular;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/EmailParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/SiglaPartidoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/UfParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/MembroMesa;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/MembroLideranca;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/Telefones/Telefone/NumeroTelefone;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/Telefones/Telefone/OrdemPublicacao;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/Telefones/Telefone/IndicadorFax;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/CodigoMandato;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/UfParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/DescricaoParticipacao;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/PrimeiraLegislaturaDoMandato/NumeroLegislatura;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/PrimeiraLegislaturaDoMandato/DataInicio;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/PrimeiraLegislaturaDoMandato/DataFim;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/SegundaLegislaturaDoMandato/NumeroLegislatura;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/SegundaLegislaturaDoMandato/DataInicio;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/SegundaLegislaturaDoMandato/DataFim;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Suplentes/Suplente/DescricaoParticipacao;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Suplentes/Suplente/CodigoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Suplentes/Suplente/NomeParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/CodigoExercicio;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/DataInicio;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/DataFim;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/SiglaCausaAfastamento;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/DescricaoCausaAfastamento;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Titular/DescricaoParticipacao;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Titular/CodigoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Titular/NomeParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/DataLeitura
"5982";"829";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";;"sen.alessandrovieira@senado.leg.br";"PSDB";"SE";"Não";"Não";;;;"559";"SE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"1º Suplente";"5980";"Fernando Carvalho";;;;;;;;;
"5982";"829";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";;"sen.alessandrovieira@senado.leg.br";"PSDB";"SE";"Não";"Não";;;;"559";"SE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2º Suplente";"5981";"Major Ildomario";;;;;;;;;
"5982";"829";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";;"sen.alessandrovieira@senado.leg.br";"PSDB";"SE";"Não";"Não";;;;"559";"SE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2888";"2019-02-01";;;;;;;
"4610";"899";"Alexandre Silveira";"Alexandre Silveira de Oliveira";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4610.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4610";"https://alexandresilveiramg.com.br";"sen.alexandresilveira@senado.leg.br";"PSD";"MG";"Não";"Não";"33035717";"1";"Não";"495";"MG";"1º Suplente";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"2º Suplente";"415";"Lael Varella";"2973";"2022-02-02";;;;"Titular";"5529";"Antonio Anastasia";
"945";"855";"Alvaro Dias";"Alvaro Fernandes Dias";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/945";"https://www.alvarodias.com.br/";"sen.alvarodias@senado.leg.br";;;;;"33034059";"1";"Não";;;;;;;;;;;;;;;;;;;;;
"945";"855";"Alvaro Dias";"Alvaro Fernandes Dias";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/945";"https://www.alvarodias.com.br/";"sen.alvarodias@senado.leg.br";;;;;"33034060";"2";"Não";;;;;;;;;;;;;;;;;;;;;
"945";"855";"Alvaro Dias";"Alvaro Fernandes Dias";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/945";"https://www.alvarodias.com.br/";"sen.alvarodias@senado.leg.br";;;;;"33032941";"3";"Não";;;;;;;;;;;;;;;;;;;;;
"945";"855";"Alvaro Dias";"Alvaro Fernandes Dias";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/945";"https://www.alvarodias.com.br/";"sen.alvarodias@senado.leg.br";"PODEMOS";"PR";"Não";"Sim";;;;"514";"PR";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"1º Suplente";"5609";"Joel Malucelli";;;;;;;;;
"945";"855";"Alvaro Dias";"Alvaro Fernandes Dias";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/945";"https://www.alvarodias.com.br/";"sen.alvarodias@senado.leg.br";"PODEMOS";"PR";"Não";"Sim";;;;"514";"PR";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"2º Suplente";"5611";"Severino Araujo";;;;;;;;;
"945";"855";"Alvaro Dias";"Alvaro Fernandes Dias";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/945";"https://www.alvarodias.com.br/";"sen.alvarodias@senado.leg.br";"PODEMOS";"PR";"Não";"Sim";;;;"514";"PR";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;"2755";"2015-02-01";;;;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";;"sen.angelocoronel@senado.leg.br";;;;;"33036103";"1";"Não";;;;;;;;;;;;;;;;;;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";;"sen.angelocoronel@senado.leg.br";;;;;"33036105";"3";"Não";;;;;;;;;;;;;;;;;;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";;"sen.angelocoronel@senado.leg.br";"PSD";"BA";"Não";"Não";;;;"554";"BA";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"1º Suplente";"5837";"Davidson Magalhães";;;;;;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";;"sen.angelocoronel@senado.leg.br";"PSD";"BA";"Não";"Não";;;;"554";"BA";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2º Suplente";"5056";"Silvia Nascimento Cardoso dos Santos Cerqueira";;;;;;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";;"sen.angelocoronel@senado.leg.br";"PSD";"BA";"Não";"Não";;;;"554";"BA";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2889";"2019-02-01";;;;;;;
"5936";"949";"Carlos Portinho";"Carlos Francisco Portinho";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936";"https://carlosportinho.com.br/";"sen.carlosportinho@senado.leg.br";;;;;"33036640";"1";"Não";;;;;;;;;;;;;;;;;;;;;
"5936";"949";"Carlos Portinho";"Carlos Francisco Portinho";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936";"https://carlosportinho.com.br/";"sen.carlosportinho@senado.leg.br";;;;;"33036613";"2";"Não";;;;;;;;;;;;;;;;;;;;;
"5936";"949";"Carlos Portinho";"Carlos Francisco Portinho";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936";"https://carlosportinho.com.br/";"sen.carlosportinho@senado.leg.br";"PL";"RJ";"Não";"Sim";;;;"545";"RJ";"1º Suplente";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2º Suplente";"5934";"Renata Guerra";"2959";"2020-11-03";;;;"Titular";"751";"Arolde de Oliveira";
"5990";"843";"Carlos Viana";"Carlos Alberto Dias Viana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990";;"sen.carlosviana@senado.leg.br";"PL";"MG";"Não";"Sim";"33033100";"1";"Não";"563";"MG";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"1º Suplente";"5991";"Castellar Guimarães Neto";;;;;;;;;
"5990";"843";"Carlos Viana";"Carlos Alberto Dias Viana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990";;"sen.carlosviana@senado.leg.br";"PL";"MG";"Não";"Sim";"33033100";"1";"Não";"563";"MG";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2º Suplente";"5992";"Danilo Martins de Oliveira";;;;;;;;;
"5990";"843";"Carlos Viana";"Carlos Alberto Dias Viana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990";;"sen.carlosviana@senado.leg.br";"PL";"MG";"Não";"Sim";"33033100";"1";"Não";"563";"MG";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2892";"2019-02-01";;;;;;;
"470";"815";"Chico Rodrigues";"Francisco de Assis Rodrigues";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/470";;"sen.chicorodrigues@senado.leg.br";"UNIÃO";"RR";"Não";"Não";"33032281";"1";"Não";"577";"RR";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"1º Suplente";"6023";"Pedro Arthur";;;;;;;;;
"470";"815";"Chico Rodrigues";"Francisco de Assis Rodrigues";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/470";;"sen.chicorodrigues@senado.leg.br";"UNIÃO";"RR";"Não";"Não";"33032281";"1";"Não";"577";"RR";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2º Suplente";"6024";"Onésimo Cruz";;;;;;;;;
"470";"815";"Chico Rodrigues";"Francisco de Assis Rodrigues";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/470";;"sen.chicorodrigues@senado.leg.br";"UNIÃO";"RR";"Não";"Não";"33032281";"1";"Não";"577";"RR";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2965";"2021-02-18";;;;;;;
"470";"815";"Chico Rodrigues";"Francisco de Assis Rodrigues";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/470";;"sen.chicorodrigues@senado.leg.br";"UNIÃO";"RR";"Não";"Não";"33032281";"1";"Não";"577";"RR";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2905";"2019-02-01";"2020-10-20";"LP ";"Licença Particular";;;;
"470";"815";"Chico Rodrigues";"Francisco de Assis Rodrigues";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/470";;"sen.chicorodrigues@senado.leg.br";"UNIÃO";"RR";"Não";"Não";"33032281";"1";"Não";"577";"RR";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;;;;;;;;;
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"https://cidgomes.com.br/";"sen.cidgomes@senado.leg.br";;;;;"33036460";"1";"Não";;;;;;;;;;;;;;;;;;;;;
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"https://cidgomes.com.br/";"sen.cidgomes@senado.leg.br";;;;;"33036399";"2";"Não";;;;;;;;;;;;;;;;;;;;;
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"https://cidgomes.com.br/";"sen.cidgomes@senado.leg.br";"PDT";"CE";"Não";"Sim";;;;"556";"CE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"1º Suplente";"5971";"Prisco Bezerra";;;;;;;;;
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"https://cidgomes.com.br/";"sen.cidgomes@senado.leg.br";"PDT";"CE";"Não";"Sim";;;;"556";"CE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2º Suplente";"5972";"Julio Ventura";;;;;;;;;
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"https://cidgomes.com.br/";"sen.cidgomes@senado.leg.br";"PDT";"CE";"Não";"Sim";;;;"556";"CE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2953";"2020-04-11";;;;;;;
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"https://cidgomes.com.br/";"sen.cidgomes@senado.leg.br";"PDT";"CE";"Não";"Sim";;;;"556";"CE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2895";"2019-02-01";"2019-12-11";"LP ";"Licença Particular";;;;
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"https://cidgomes.com.br/";"sen.cidgomes@senado.leg.br";"PDT";"CE";"Não";"Sim";;;;"556";"CE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;;;;;;;;;
"475";"867";"Confúcio Moura";"Confúcio Aires Moura";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/475";"https://senadorconfucio.com.br/";"sen.confuciomoura@senado.leg.br";;;;;"33032470";"1";"Não";;;;;;;;;;;;;;;;;;;;;
